57236;65330;66197
57296;65353;66266
57336;65362;66320
57397;65401;66375
57437;65390;66409
57497;65423;66540
57537;65455;66592
57597;65484;66491
57637;65413;66286
57697;65329;66171
57738;65306;66172
57798;65314;66216
57838;65321;66255
57898;65314;66297
57938;65330;66323
57998;65385;66394
58038;65414;66432
58098;65428;66489
58139;65436;66531
58199;65449;66576
58239;65456;66649
58299;65499;66758
58339;65548;66782
58399;65509;66565
58439;65433;66444
58499;65389;66423
58540;65392;66435
58600;65407;66484
58640;65396;66515
58700;65397;66552
58740;65420;66586
58800;65469;66643
58840;65497;66684
58900;65515;66733
58941;65514;66776
59001;65518;66792
59041;65519;66841
59101;65535;66936
59141;65563;66975
59201;65542;66751
59241;65482;66632
59301;65446;66588
59341;65441;66603
59402;65445;66629
59442;65442;66627
59502;65422;66644
59542;65433;66683
59602;65483;66748
59642;65499;66783
59702;65531;66825
59742;65534;66848
59803;65533;66870
59843;65531;66901
59903;65532;66970
59943;65558;67035
60003;65563;66906
60043;65503;66724
60103;65434;66593
60143;65422;66579
60204;65407;66594
60244;65413;66589
60304;65377;66576
60344;65367;66591
60404;65394;66650
60444;65434;66693
60504;65475;66736
60544;65484;66752
60605;65482;66799
60645;65499;66817
60705;65483;66849
60745;65486;66897
60805;65532;66982
60845;65557;66944
60905;65471;66638
60945;65408;66502
61005;65350;66417
61046;65322;66411
61106;65324;66418
61146;65316;66420
61206;65297;66423
61246;65305;66445
61306;65354;66485
61346;65380;66516
61406;65394;66553
61446;65389;66579
61507;65399;66612
61547;65396;66623
61607;65396;66685
61647;65440;66751
61707;65488;66815
61747;65490;66694
61807;65356;66333
61847;65272;66213
61908;65231;66151
61948;65222;66154
62008;65214;66196
62048;65208;66190
62108;65224;66189
62148;65249;66205
62208;65288;66248
62248;65303;66273
62309;65303;66323
62349;65312;66354
62409;65312;66401
62449;65316;66447
62509;65367;66528
62549;65411;66583
62609;65455;66618
62649;65429;66464
62710;65253;66077
62750;65177;65953
62810;65146;65923
62850;65138;65952
62910;65176;66022
62950;65187;66010
63010;65199;65989
63050;65208;65988
63110;65219;66036
63151;65221;66080
63211;65241;66123
63251;65248;66182
63311;65278;66266
63351;65307;66312
63411;65348;66354
63451;65390;66391
63511;65407;66442
63552;65392;66381
63612;65243;65937
63652;65121;65739
63712;65061;65705
63752;65088;65730
63812;65135;65793
63852;65154;65768
63912;65138;65725
63952;65127;65729
64013;65144;65783
64053;65155;65825
64113;65168;65922
64153;65196;66001
64213;65268;66083
64253;65299;66117
64313;65341;66152
64353;65339;66184
64414;65347;66243
64454;65358;66279
64514;65365;66317
64554;65324;66110
64614;65151;65675
64654;65099;65576
64714;65104;65551
64754;65099;65561
64815;65096;65578
64855;65099;65547
64915;65077;65542
64955;65067;65581
65015;65114;65712
65055;65167;65776
65115;65223;65850
65155;65243;65887
65215;65258;65932
65256;65266;65956
65316;65276;66003
65356;65288;66059
65416;65321;66166
65456;65353;66227
65516;65418;66250
65556;65388;65991
65616;65162;65515
65657;65077;65413
65717;65063;65411
65757;65056;65429
65817;65069;65490
65857;65079;65495
65917;65113;65501
65957;65130;65514
66017;65145;65586
66057;65164;65629
66118;65178;65697
66158;65192;65724
66218;65188;65789
66258;65206;65853
66318;65270;65929
66358;65306;65976
66418;65349;66030
66458;65357;66049
66519;65275;65705
66559;65124;65383
66619;65016;65256
66659;65005;65301
66719;65040;65399
66759;65096;65442
66819;65104;65392
66859;65088;65370
66920;65080;65431
66960;65099;65476
67020;65124;65556
67060;65135;65624
67120;65177;65724
67160;65217;65769
67220;65263;65812
67260;65276;65849
67320;65286;65905
67361;65291;65856
67421;65125;65346
67461;64991;65148
67521;64928;65127
67561;64958;65142
67621;65000;65212
67661;65020;65225
67721;65004;65176
67761;64991;65186
67822;65009;65251
67862;65019;65306
67922;65052;65437
67962;65086;65510
68022;65161;65594
68062;65183;65622
68122;65205;65657
68162;65214;65698
68223;65235;65753
68263;65244;65720
68323;65053;65199
68363;64919;64953
68423;64866;64875
68463;64869;64859
68523;64888;64880
68563;64899;64922
68624;64883;64890
68664;64876;64892
68724;64880;64974
68764;64902;65055
68824;64973;65190
68864;65019;65244
68924;65074;65303
68964;65087;65333
69024;65092;65371
69065;65104;65408
69125;65121;65475
69165;65132;65546
69225;65168;65552
69265;65114;65216
69325;64895;64719
69365;64838;64646
69425;64811;64615
69466;64793;64630
69526;64815;64663
69566;64805;64668
69626;64794;64712
69666;64827;64783
69726;64904;64899
69766;64944;64958
69826;64975;65013
69866;64988;65053
69927;64998;65094
69967;65016;65133
70027;65020;65232
70067;65057;65305
70127;65124;65391
70167;65163;65434
70227;65181;65421
70267;65112;65090
70328;64851;64602
70368;64789;64530
70428;64768;64574
70468;64785;64637
70528;64838;64708
70568;64867;64708
70628;64888;64725
70668;64892;64770
70729;64905;64860
70769;64932;64918
70829;64948;64985
70869;64961;65041
70929;64999;65140
70969;65046;65194
71029;65101;65245
71069;65114;65286
71129;65126;65350
71170;65141;65378
71230;65033;64931
71270;64850;64604
71330;64769;64531
71370;64782;64554
71430;64812;64601
71470;64843;64635
71530;64848;64629
71571;64827;64631
71631;64842;64692
71671;64855;64786
71731;64901;64929
71771;64945;65012
71831;65006;65113
71871;65048;65157
71931;65054;65182
71971;65058;65221
72032;65085;65299
72072;65112;65351
72132;65094;65300
72172;64994;64911
72232;64807;64521
72272;64775;64457
72332;64745;64429
72372;64734;64459
72433;64758;64537
72473;64759;64520
72533;64750;64585
72573;64773;64670
72633;64840;64806
72673;64891;64884
72733;64937;64955
72773;64954;64996
72834;64965;65050
72874;64974;65103
72934;65005;65210
72974;65019;65252
73034;64924;64806
73074;64801;64547
73134;64738;64461
73174;64721;64449
73235;64721;64549
73275;64760;64612
73335;64754;64614
73375;64742;64655
73435;64788;64768
73475;64830;64848
73535;64912;64965
73575;64928;65024
73636;64948;65088
73676;64955;65128
73736;64962;65233
73776;64987;65325
73836;65024;65174
73876;64893;64816
73936;64744;64589
73976;64713;64584
74037;64700;64622
74077;64717;64688
74137;64720;64749
74177;64725;64767
74237;64782;64824
74277;64820;64892
74337;64841;64988
74378;64858;65046
74438;64883;65111
74478;64891;65175
74538;64936;65307
74578;64978;65282
74638;64856;64876
74678;64741;64702
74739;64683;64686
74779;64682;64699
74839;64693;64815
74879;64714;64858
74939;64741;64898
74979;64766;64940
75039;64811;65034
75079;64838;65107
75140;64867;65203
75180;64890;65258
75240;64912;65363
75280;64939;65445
75340;64993;65452
75380;64928;65192
75440;64772;64902
75480;64733;64858
75541;64706;64854
75581;64699;64903
75641;64713;64986
75681;64726;65023
75741;64765;65087
75781;64803;65138
75841;64828;65219
75882;64844;65294
75942;64880;65366
75982;64889;65444
76042;64935;65567
76082;64978;65659
76142;65039;65603
76182;64952;65346
76243;64777;65109
76283;64746;65067
76343;64711;65056
76383;64697;65123
76443;64741;65204
76483;64771;65227
76543;64803;65260
76583;64805;65301
76644;64833;65389
76684;64845;65437
76744;64867;65544
76784;64892;65630
76844;64964;65738
76884;65001;65791
76944;65043;65865
76984;65072;65927
77045;65063;65880
77085;64980;65646
77145;64828;65461
77185;64800;65446
77245;64808;65445
77285;64818;65478
77345;64836;65480
77385;64827;65480
77446;64810;65493
77486;64816;65521
77546;64829;65631
77586;64863;65720
77646;64930;65830
77686;64966;65870
77746;64995;65917
77786;65008;65968
77847;65025;66037
77887;65044;66094
77947;65038;66070
77987;64985;65908
78047;64909;65748
78087;64897;65710
78147;64866;65667
78188;64850;65692
78248;64846;65661
78288;64824;65671
78348;64826;65748
78388;64856;65803
78448;64917;65882
78488;64943;65916
78548;64960;65973
78589;64974;66012
78649;64988;66049
78689;64983;66122
78749;65025;66232
78789;65065;66274
78849;65029;66049
78889;64942;65883
78949;64864;65785
78990;64837;65749
79050;64818;65738
79090;64809;65756
79150;64814;65778
79190;64825;65782
79250;64866;65813
79290;64879;65844
79350;64889;65898
79391;64900;65938
79451;64924;65981
79491;64934;66022
79551;64937;66104
79591;64982;66180
79651;65045;66275
79691;65069;66211
79751;64944;65880
79791;64850;65724
79852;64767;65606
79892;64746;65577
79952;64728;65587
79992;64728;65585
80052;64728;65613
80092;64758;65630
80152;64794;65677
80192;64822;65714
80252;64845;65772
80293;64841;65807
80353;64856;65840
80393;64862;65897
80453;64890;66000
80493;64937;66068
80553;64996;66051
80593;64926;65815
80653;64753;65505
80693;64696;65429
80754;64662;65376
80794;64665;65392
80854;64654;65412
80894;64657;65431
80954;64681;65474
80994;64716;65519
81054;64769;65589
81094;64784;65633
81155;64809;65703
81195;64824;65732
81255;64843;65791
81295;64856;65846
81355;64891;65965
81395;64933;66014
81455;64922;65787
81495;64804;65507
81555;64669;65318
81595;64644;65300
81656;64637;65305
81696;64648;65332
81756;64625;65355
81796;64643;65382
81856;64688;65448
81896;64723;65500
81956;64777;65582
81996;64807;65635
82057;64818;65694
82097;64836;65725
82157;64849;65804
82197;64858;65862
82257;64911;65979
82297;64946;65883
82357;64790;65459
82397;64689;65309
82457;64646;65265
82498;64635;65273
82558;64657;65319
82598;64648;65321
82658;64647;65339
82698;64656;65384
82758;64733;65498
82798;64773;65543
82858;64805;65616
82898;64825;65659
82959;64840;65714
82999;64854;65748
83059;64873;65816
83099;64884;65887
83159;64947;65981
83199;64966;65823
83259;64767;65345
83299;64654;65186
83359;64596;65140
83400;64608;65150
83460;64623;65206
83500;64624;65223
83560;64616;65246
83600;64639;65283
83660;64706;65375
83700;64741;65441
83760;64784;65505
83800;64791;65548
83861;64812;65601
83901;64830;65631
83961;64841;65724
84001;64875;65801
84061;64952;65897
84101;64987;65843
84161;64821;65329
84201;64667;65086
84262;64573;65017
84302;64574;65018
84362;64591;65094
84402;64603;65121
84462;64610;65139
84502;64636;65171
84562;64688;65249
84602;64724;65306
84662;64756;65389
84703;64772;65438
84763;64800;65484
84803;64817;65529
84863;64840;65621
84903;64888;65697
84963;64948;65782
85003;64965;65698
85063;64769;65148
85103;64631;64949
85164;64569;64926
85204;64564;64932
85264;64590;65011
85304;64598;65023
85364;64596;65036
85404;64608;65056
85464;64672;65143
85504;64708;65214
85564;64753;65293
85605;64764;65348
85665;64793;65391
85705;64805;65413
85765;64815;65524
85805;64861;65596
85865;64931;65594
85905;64836;65243
85965;64601;64808
86005;64542;64760
86066;64516;64777
86106;64533;64821
86166;64557;64869
86206;64537;64855
86266;64560;64907
86306;64602;64967
86366;64670;65068
86406;64703;65111
86466;64740;65189
86507;64741;65227
86567;64765;65264
86607;64770;65302
86667;64800;65405
86707;64842;65486
86767;64908;65502
86807;64836;65149
86867;64558;64617
86907;64472;64538
86968;64458;64537
87008;64461;64559
87068;64482;64632
87108;64475;64630
87168;64482;64669
87208;64524;64729
87268;64601;64826
87308;64638;64890
87368;64680;64976
87409;64690;65010
87469;64710;65051
87509;64724;65098
87569;64738;65183
87609;64777;65263
87669;64854;65321
87709;64821;65052
87769;64526;64442
87809;64434;64336
87870;64396;64315
87910;64401;64341
87970;64427;64441
88010;64430;64443
88070;64455;64472
88110;64493;64523
88170;64556;64617
88210;64598;64682
88270;64626;64769
88311;64648;64803
88371;64673;64859
88411;64683;64914
88471;64731;65022
88511;64767;65086
88571;64836;65133
88611;64816;64876
88671;64529;64273
88711;64416;64175
88772;64408;64184
88812;64422;64213
88872;64451;64327
88912;64462;64345
88972;64484;64355
89012;64515;64408
89072;64575;64500
89112;64600;64571
89173;64636;64645
89213;64659;64684
89273;64677;64721
89313;64681;64785
89373;64736;64901
89413;64777;64968
89473;64799;64782
89513;64646;64354
89573;64442;64051
89613;64406;64031
89674;64409;64038
89714;64419;64111
89774;64445;64170
89814;64448;64189
89874;64503;64274
89914;64545;64342
89974;64601;64445
90014;64638;64513
90075;64665;64591
90115;64677;64617
90175;64685;64689
90215;64705;64753
90275;64769;64884
90315;64822;64937
90375;64797;64606
90415;64607;64213
90475;64456;64033
90516;64450;64031
90576;64450;64067
90616;64464;64167
90676;64508;64221
90716;64523;64250
90776;64583;64328
90816;64632;64409
90876;64673;64523
90917;64685;64586
90977;64731;64659
91017;64740;64711
91077;64768;64809
91117;64813;64890
91177;64887;65020
91217;64917;65069
91277;64915;64876
91317;64771;64517
91378;64615;64309
91418;64598;64296
91478;64589;64343
91518;64605;64434
91578;64651;64488
91618;64687;64506
91678;64719;64565
91718;64739;64622
91778;64781;64728
91819;64803;64791
91879;64829;64857
91919;64838;64929
91979;64876;65039
92019;64921;65109
92079;64996;65211
92119;65025;65200
92179;64899;64791
92219;64775;64622
92280;64743;64596
92320;64740;64608
92380;64735;64712
92420;64783;64780
92480;64821;64813
92520;64848;64849
92580;64882;64916
92620;64916;64982
92681;64938;65078
92721;64964;65126
92781;64985;65236
92821;65023;65319
92881;65088;65431
92921;65127;65488
92981;65173;65542
93021;65138;65342
93082;64934;64952
93122;64868;64863
93182;64816;64848
93222;64828;64907
93282;64884;64989
93322;64898;64988
93382;64908;64983
93422;64908;65032
93483;64923;65100
93523;64946;65150
93583;64961;65275
93623;65008;65361
93683;65068;65461
93723;65107;65514
93783;65143;65584
93823;65172;65640
93884;65183;65710
93924;65180;65573
93984;65004;65245
94024;64942;65184
94084;64944;65169
94124;64953;65176
94184;64979;65206
94224;64967;65210
94285;64953;65198
94325;64950;65225
94385;64948;65334
94425;65005;65436
94485;65071;65549
94525;65111;65598
94585;65137;65633
94625;65132;65671
94686;65157;65729
94726;65168;65774
94786;65177;65818
94826;65144;65672
94886;65058;65471
94926;65040;65432
94986;65035;65399
95026;65030;65420
95087;65027;65440
95127;65018;65427
95187;64996;65454
95227;64997;65514
95287;65051;65612
95327;65104;65682
95387;65156;65728
95427;65153;65767
95488;65161;65819
95528;65177;65847
95588;65185;65925
95628;65178;65865
95688;65102;65622
95728;65064;65553
95788;65053;65504
95828;65038;65509
95889;65034;65529
95929;65019;65505
95989;64989;65533
96029;65010;65585
96089;65069;65669
96129;65104;65705
96189;65123;65759
96229;65138;65791
96290;65150;65819
96330;65157;65861
96390;65160;65955
96430;65166;65889
96490;65088;65587
96530;65027;65458
96590;64973;65369
96631;64938;65351
96691;64935;65354
96731;64921;65359
96791;64914;65397
96831;64942;65422
96891;64996;65496
96931;65022;65539
96991;65035;65588
97032;65037;65618
97092;65052;65650
97132;65055;65708
97192;65076;65786
97232;65076;65686
97292;64958;65321
97332;64894;65181
97392;64832;65093
97433;64797;65061
97493;64794;65074
97533;64785;65095
97593;64794;65130
97633;64820;65174
97693;64877;65250
97733;64903;65293
